SYMBOL	GSE12251_logFC	GSE12251_PValue	GSE12251_adjP	GSE16879_logFC	GSE16879_PValue	GSE16879_adjP	GSE23597_logFC	GSE23597_PValue	GSE23597_adjP	GSE12251_direction	GSE16879_direction	GSE23597_direction	max_same_direction_cohorts	nominal_p_lt_0_05_cohorts
BCAT1	-0.621957101661888	0.00375817576420477	0.174134118566013	-1.09085567909926	0.0173246703118052	0.453482665553577	-0.337922924157501	0.21742251490118	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
TTC39B	0.582531054642357	0.00376711120788792	0.174253094442364	0.492146122288985	0.00563786976171472	0.387405136884623	0.0858920856589449	0.447500320458278	0.982399080750823	up_in_responders	up_in_responders	up_in_responders	3	2
DEPDC1B	0.60652185657932	0.00381159995026253	0.174253094442364	-0.132654013501642	0.631568353369782	0.917247682168117	0.360210695755614	0.0177596617937281	0.978703585101868	up_in_responders	up_in_nonresponders	up_in_responders	2	2
NRARP	0.85556961177475	0.00381173664294591	0.174253094442364	0.59011599330248	0.0352686817633672	0.518941202872485	0.194743480941534	0.366653574843324	0.979789754327635	up_in_responders	up_in_responders	up_in_responders	3	2
PALMD	-0.923222997871464	0.00383199868488192	0.174512775783741	-0.486343550799428	0.0775584704613527	0.594373685513188	-0.74660398495629	0.00508339099043979	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
MTHFD2L	0.53211307804733	0.0038365680199736	0.174512775783741	0.801870137922836	0.112686052364226	0.636759194901208	-0.402704287232975	0.0424226910906442	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
CREM	-1.32853285835861	0.00387092013573185	0.175112916824994	-0.746174509780949	0.00187700535615773	0.358334591272218	-0.388902251598438	0.25572522318817	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
FOXC1	-0.78158135524171	0.00387218137067064	0.175112916824994	-0.669688686816143	0.0322248301700432	0.51296203860982	-0.0748676008168499	0.675968735821993	0.982848099114892	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
ANGPT2	-0.91367754573527	0.00389753187530956	0.175968253742816	-1.43075041641911	0.0038269216987413	0.364406519443386	-0.500477477261874	0.0529927709531017	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
SSBP3	0.445170690514178	0.0039105837927266	0.17611246496739	0.301648114686023	0.0479898109686259	0.54339623394664	0.203191607905873	0.0720912999688891	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
HADH	0.64624734992498	0.00394181383591099	0.176221317643854	0.535480424541509	0.0024810086389893	0.358699630821332	0.0941686234502382	0.636740140657124	0.982702442133709	up_in_responders	up_in_responders	up_in_responders	3	2
KLHL5	-0.874855832700524	0.00395658497982152	0.176686306514694	-1.30017451172895	0.000722965770176749	0.358334591272218	-0.294872613539528	0.153980491201896	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
RHOV	0.881167488385721	0.00402995589196143	0.17742243763487	-0.143643913300657	0.765541451851296	0.950980343570041	0.487182442797408	0.036255188803749	0.978703585101868	up_in_responders	up_in_nonresponders	up_in_responders	2	2
ASAP1	-0.718990569696101	0.00405529677238698	0.177570541286021	-0.767187282792072	0.00161493400992894	0.358334591272218	-0.336113076836666	0.067066637986163	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
CSGALNACT1	-0.976677346199497	0.00405643541044793	0.177570541286021	-1.00238992939	0.0244597683227392	0.492884230804774	-0.393499057740707	0.289831340172965	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
ZBTB3	0.570291079877825	0.00407139867485032	0.177738556084307	0.464585476789224	0.0399095032941088	0.528386506675587	0.219726116077929	0.343455634193733	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
MACROD1	0.582580733303514	0.00407196959600883	0.177738556084307	0.531796660936185	0.04621328371581	0.542280085522815	0.525391346243629	0.100691298178743	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
PROSER1	0.384896901816185	0.00416557745516573	0.180041855621491	-0.0944775002174588	0.417142295485524	0.840405885886821	0.1810013793926	0.0375919154624426	0.978703585101868	up_in_responders	up_in_nonresponders	up_in_responders	2	2
HLA-DQB1	-2.20604580899665	0.00423554071390681	0.181915309138142	-0.458720597828451	0.197258840752256	0.718770395548409	-1.72996342780091	0.00200554295521197	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
